id,type,ts,cpu,mem
cpu,1,1705665746319000000,0.008444,6656000
cpu,1,1705665748619000000,0.010300,6656000
cpu,1,1705665751132000000,0.008787,6782976
cpu,1,1705665753518000000,0.010448,6660096
cpu,1,1705665755956000000,0.008420,6660096
cpu,1,1705665758496000000,0.010108,6660096
cpu,1,1705665760787000000,0.008644,6656000
cpu,1,1705665763480000000,0.008760,6660096
cpu,1,1705665766096000000,0.008399,6660096
cpu,1,1705665768483000000,0.010353,6660096
cpu,1,1705665770813000000,0.008688,6660096
cpu,1,1705665773481000000,0.009904,6656000
cpu,1,1705665776297000000,0.008129,6656000
cpu,1,1705665778650000000,0.008928,6660096
cpu,1,1705665781201000000,0.009574,6664192
cpu,1,1705665783515000000,0.008319,6656000
cpu,1,1705665785889000000,0.008357,6656000
cpu,1,1705665788415000000,0.008680,6656000
cpu,1,1705665790859000000,0.008891,6660096
cpu,1,1705665793133000000,0.008695,6660096
cpu,1,1705665795757000000,0.006840,6660096
cpu,1,1705665798315000000,0.005363,6660096
cpu,1,1705665800632000000,0.008865,6660096
cpu,1,1705665803089000000,0.009779,6656000
cpu,1,1705665805534000000,0.008613,6656000
cpu,1,1705665808115000000,0.007753,6656000
cpu,1,1705665810598000000,0.008992,6660096
cpu,1,1705665812873000000,0.008999,6660096
cpu,1,1705665815515000000,0.009039,6656000
cpu,1,1705665818123000000,0.010186,6656000
cpu,1,1705665820699000000,0.007494,6656000
cpu,1,1705665823300000000,0.008853,6656000
cpu,1,1705665825805000000,0.009020,6656000
cpu,1,1705665828432000000,0.010744,6660096
cpu,1,1705665830687000000,0.009347,6660096
cpu,1,1705665833032000000,0.008969,6660096
cpu,1,1705665835344000000,0.010765,6656000
cpu,1,1705665837743000000,0.009161,6656000
cpu,1,1705665840313000000,0.009560,6656000
cpu,1,1705665842926000000,0.008846,6656000
cpu,1,1705665845380000000,0.008799,6660096
cpu,1,1705665847924000000,0.009102,6660096
cpu,1,1705665850579000000,0.009203,6656000
cpu,1,1705665853064000000,0.008833,6656000
cpu,1,1705665855659000000,0.008404,6660096
cpu,1,1705665858085000000,0.008413,6660096
cpu,1,1705665860291000000,0.009174,6660096
cpu,1,1705665862926000000,0.008357,6660096
cpu,1,1705665865422000000,0.009080,6660096
cpu,1,1705665867840000000,0.010218,6660096
cpu,1,1705665870404000000,0.009382,6656000
cpu,1,1705665872982000000,0.008808,6656000
cpu,1,1705665875670000000,0.009972,6660096
cpu,1,1705665878227000000,0.010430,6660096
cpu,1,1705665880425000000,0.010602,6656000
cpu,1,1705665882786000000,0.009291,6656000
cpu,1,1705665885095000000,0.009559,6660096
